,created_at,favorite_count,id_str,in_reply_to_user_id_str,is_retweet,retweet_count,source,text
0,Sat Dec 31 18:59:04 +0000 2016,0,815271067749060609,,True,9529,Twitter for iPhone,"RT @realDonaldTrump: Happy Birthday @DonaldJTrumpJr!
https://t.co/uRxyCD3hBz"
1,Sat Dec 31 18:58:12 +0000 2016,55601,815270850916208644,,False,9529,Twitter for iPhone,"Happy Birthday @DonaldJTrumpJr!
https://t.co/uRxyCD3hBz"
2,Sat Dec 31 13:17:21 +0000 2016,350860,815185071317676033,,False,141853,Twitter for Android,"Happy New Year to all, including to my many enemies and those who have fought me and lost so badly they just don't know what to do. Love!"
3,Fri Dec 30 22:18:18 +0000 2016,84254,814958820980039681,,False,23213,Twitter for Android,"Russians are playing @CNN and @NBCNews for such fools - funny to watch, they don't have a clue! @FoxNews totally gets it!"
4,Fri Dec 30 19:46:55 +0000 2016,25336,814920722208296960,,False,7366,Twitter for iPhone,"Join @AmerIcan32, founded by Hall of Fame legend @JimBrownNFL32 on 1/19/2017 in Washington, D.C.… https://t.co/9WJZ8iTCQV"
5,Fri Dec 30 19:41:33 +0000 2016,97669,814919370711461890,,False,34415,Twitter for Android,Great move on delay (by V. Putin) - I always knew he was very smart!
6,Thu Dec 29 14:54:21 +0000 2016,45609,814484710025994241,,False,11330,Twitter for iPhone,My Administration will follow two simple rules: https://t.co/ZWk0j4H8Qy
7,Wed Dec 28 22:06:28 +0000 2016,51857,814231064847728640,,False,13919,Twitter for iPhone,'Economists say Trump delivered hope' https://t.co/SjGBgglIuQ
8,Wed Dec 28 14:25:11 +0000 2016,117710,814114980983427073,,False,34542,Twitter for Android,"not anymore. The beginning of the end was the horrible Iran deal, and now this (U.N.)! Stay strong Israel, January 20th is fast approaching!"
9,Wed Dec 28 14:19:46 +0000 2016,106626,814113616110751744,,False,30237,Twitter for Android,"We cannot continue to let Israel be treated with such total disdain and disrespect. They used to have a great friend in the U.S., but......."
10,Wed Dec 28 14:07:13 +0000 2016,117900,814110460761018368,,False,31799,Twitter for Android,Doing my best to disregard the many inflammatory President O statements and roadblocks.Thought it was going to be a smooth transition - NOT!
11,Wed Dec 28 03:10:07 +0000 2016,78521,813945096269860866,,False,19159,Twitter for Android,"The U.S. Consumer Confidence Index for December surged nearly four points to 113.7, THE HIGHEST LEVEL IN MORE THAN 15 YEARS! Thanks Donald!"
12,Tue Dec 27 21:52:29 +0000 2016,99838,813865160163098628,,False,23222,Twitter for Android,"President Obama campaigned hard (and personally) in the very important swing states, and lost.The voters wanted to MAKE AMERICA GREAT AGAIN!"
13,Tue Dec 27 03:06:59 +0000 2016,67470,813581917215977473,,False,15256,Twitter for Android,"The DJT Foundation, unlike most foundations, never paid fees, rent, salaries or any expenses. 100% of money goes to wonderful charities!"
14,Tue Dec 27 02:53:20 +0000 2016,71643,813578484572450816,,False,17414,Twitter for Android,"I gave millions of dollars to DJT Foundation, raised or recieved millions more, ALL of which is given to charity, and media won't report!"
15,Mon Dec 26 23:32:28 +0000 2016,128341,813527932165558273,,False,30090,Twitter for iPhone,The world was gloomy before I won - there was no hope. Now the market is up nearly 10% and Christmas spending is over a trillion dollars!
16,Mon Dec 26 21:41:58 +0000 2016,77746,813500123053490176,,False,22128,Twitter for Android,"The United Nations has such great potential but right now it is just a club for people to get together, talk and have a good time. So sad!"
17,Mon Dec 26 21:36:28 +0000 2016,91300,813498739923054593,,False,22240,Twitter for Android,"President Obama said that he thinks he would have won against me. He should say that but I say NO WAY! - jobs leaving, ISIS, OCare, etc."
18,Sun Dec 25 17:48:48 +0000 2016,212467,813079058896535552,,False,50193,Twitter for Android,"Merry Christmas and a very, very, very , very Happy New Year to everyone!"
19,Sun Dec 25 12:46:41 +0000 2016,151610,813003030186622976,,False,42571,Twitter for iPhone,#MerryChristmas https://t.co/5GgDmJrGMS
20,Sun Dec 25 00:21:08 +0000 2016,5871,812815404175421445,,False,1482,Twitter for Android,".@FoxNews - ""Objectified"" tonight at 10:00 P.M. Enjoy!"
21,Sat Dec 24 21:44:32 +0000 2016,84565,812775995837218816,,False,22072,Twitter for iPhone,Happy #Hanukkah https://t.co/UvZwtykV1E
22,Sat Dec 24 21:33:27 +0000 2016,83507,812773204561379330,,False,19826,Twitter for Android,"The big loss yesterday for Israel in the United Nations will make it much harder to negotiate peace.Too bad, but we will get it done anyway!"
23,Sat Dec 24 20:59:30 +0000 2016,62856,812764662500622336,,False,16670,Twitter for Android,".@NBCNews purposely left out this part of my nuclear qoute: ""until such time as the world comes to its senses regarding nukes.""  Dishonest!"
24,Sat Dec 24 00:13:02 +0000 2016,112957,812450976670121985,,False,31749,Twitter for Android,"Vladimir Putin said today about Hillary and Dems: ""In my opinion, it is humiliating. One must be able to lose with dignity.""  So true!"
25,Fri Dec 23 21:23:00 +0000 2016,65946,812408189492797442,,False,17989,Twitter for Android,"slaughter you. This is a purely religious threat, which turned into reality. Such hatred! When will the U.S., and all countries, fight back?"
26,Fri Dec 23 21:17:42 +0000 2016,51789,812406855469252608,,False,18801,Twitter for Android,"The terrorist who killed so many people in Germany said just before crime, ""by God's will we will slaughter you pigs, I swear, we will......"
27,Fri Dec 23 20:14:34 +0000 2016,98907,812390964740427776,,False,33870,Twitter for iPhone,"As to the U.N., things will be different after Jan. 20th."
