datetime,state,country,latitude,longitude
10/10/1949 20:30,tx,us,29.8830556,-97.94111109999999
10/10/1956 21:00,tx,us,28.9783333,-96.64583329999999
10/10/1960 20:00,hi,us,21.4180556,-157.8036111
10/10/1961 19:00,tn,us,36.595,-82.18888890000001
10/10/1965 23:45,ct,us,41.1175,-73.4083333
10/10/1966 20:00,al,us,33.5861111,-86.28611109999999
10/10/1966 21:00,fl,us,30.2947222,-82.9841667
10/10/1968 13:00,ca,us,33.9163889,-118.35166670000001
10/10/1968 19:00,nc,us,35.2333333,-82.7344444
10/10/1970 16:00,ny,us,40.6686111,-73.5275
10/10/1970 19:00,ky,us,37.1536111,-83.7619444
10/10/1971 21:00,nc,us,35.8238889,-80.25361109999999
10/10/1972 19:00,ky,us,36.8430556,-83.3219444
10/10/1972 22:30,mi,us,42.5377778,-83.2330556
10/10/1973 19:00,ct,us,41.3252778,-72.1936111
10/10/1974 19:30,ma,us,42.3916667,-71.5666667
10/10/1974 23:00,ks,us,38.1055556,-98.6597222
10/10/1975 17:00,sc,us,32.8544444,-79.975
10/10/1976 20:30,wa,us,45.5827778,-122.3522222
10/10/1977 12:00,tx,us,29.4238889,-98.4933333
10/10/1977 22:00,ky,us,38.2541667,-85.7594444
10/10/1978 2:00,ny,us,40.7008333,-73.7133333
10/10/1979 0:00,ny,us,41.7002778,-73.92138890000001
10/10/1979 22:00,ca,us,32.7152778,-117.1563889
10/10/1979 22:00,co,us,38.7583333,-104.7425
10/10/1980 19:00,tx,us,29.7630556,-95.3630556
10/10/1980 22:00,tx,us,32.7833333,-96.8
10/10/1980 23:30,nh,us,42.9955556,-71.45527779999999
10/10/1984 5:00,tx,us,29.7630556,-95.3630556
10/10/1984 12:00,mi,us,44.7630556,-85.6205556
10/10/1984 22:00,ny,us,41.0338889,-73.7633333
10/10/1988 18:00,wi,us,43.0388889,-87.90638890000001
10/10/1988 21:00,me,us,43.9627778,-70.2830556
10/10/1988 22:00,co,us,40.015,-105.27
10/10/1988 22:45,wa,us,47.6063889,-122.33083329999998
10/10/1989 0:00,ca,us,34.1577778,-118.6375
10/10/1989 21:00,wa,us,46.7163889,-122.95305559999998
10/10/1990 21:00,ga,us,31.7058333,-83.6533333
10/10/1991 22:00,nc,us,35.235,-75.6288889
10/10/1991 22:00,pa,us,40.2736111,-76.88472220000001
10/10/1992 17:00,fl,us,30.1586111,-85.66027779999999
10/10/1992 18:00,tx,us,29.6158333,-95.5575
10/10/1992 20:15,tn,us,35.8905556,-83.7247222
10/10/1992 22:00,tx,us,32.7591667,-97.7969444
10/10/1993 22:00,il,us,40.6936111,-89.58888890000001
10/10/1993 23:00,tn,us,36.2522222,-85.9516667
10/10/1994 18:30,ny,us,42.9097222,-73.8955556
10/10/1994 22:00,ar,us,34.1027778,-91.9922222
10/10/1995 19:45,wi,us,43.0388889,-87.90638890000001
10/10/1995 22:40,ca,us,37.8044444,-122.2697222
10/10/1996 3:20,mo,us,39.0725,-93.7169444
10/10/1996 22:00,sc,us,32.7763889,-79.9311111
10/10/1996 22:30,oh,us,39.4402778,-84.3622222
10/10/1997 16:00,in,us,39.6411111,-85.14111109999999
10/10/1997 17:00,az,us,33.4222222,-111.8219444
10/10/1997 20:00,ga,us,32.5436111,-83.59611109999999
10/10/1997 21:00,mn,us,43.6666667,-92.9744444
10/10/1998 2:30,ca,us,34.0983333,-118.32583329999999
10/10/1998 3:30,az,us,33.4483333,-112.07333329999999
10/10/1998 13:15,il,us,42.0372222,-88.28111109999999
10/10/1998 17:30,nv,us,36.175,-115.1363889
10/10/1998 17:30,nv,us,36.175,-115.1363889
10/10/1998 20:30,wa,us,47.6588889,-117.425
10/10/1998 20:50,nc,us,35.5847222,-80.8102778
10/10/1998 23:50,tn,us,35.265,-84.55333329999999
10/10/1999 0:01,ca,us,38.0194444,-122.13305559999999
10/10/1999 4:00,ks,us,39.1141667,-94.6272222
10/10/1999 6:00,tx,us,32.7833333,-96.8
10/10/1999 11:00,ca,us,32.7152778,-117.1563889
10/10/1999 12:40,wa,us,46.2113889,-119.13611110000001
10/10/1999 20:35,ca,us,37.6688889,-122.0797222
10/10/1999 21:00,mo,us,38.7744444,-92.2569444
10/10/1999 21:00,nv,us,37.6447222,-115.7427778
10/10/1999 21:30,ne,us,41.6916667,-97.4841667
10/10/1999 22:30,or,us,45.565,-117.9163889
10/10/1999 23:45,mi,us,44.8838889,-84.3055556
10/10/2000 3:00,mo,us,37.7241667,-89.86111109999999
10/10/2000 6:15,fl,us,26.525,-80.0666667
10/10/2000 20:30,mo,us,38.1266667,-92.0844444
10/10/2000 21:30,ky,us,38.9988889,-84.6266667
10/10/2000 21:30,wa,us,47.6063889,-122.33083329999998
10/10/2000 22:00,wa,us,47.5405556,-122.635
10/10/2001 3:00,ia,us,42.3952778,-94.6336111
10/10/2001 20:35,ca,us,37.6688889,-122.0797222
10/10/2001 21:15,ia,us,41.0041667,-92.37361109999999
10/10/2001 21:30,ca,us,36.7477778,-119.77138889999999
10/10/2001 22:00,az,us,33.4483333,-112.07333329999999
10/10/2001 23:00,va,us,36.8527778,-75.9783333
10/10/2002 0:01,wi,us,46.0130556,-91.4844444
10/10/2002 2:00,or,us,44.5402778,-123.36638889999999
10/10/2002 6:00,wa,us,47.6063889,-122.33083329999998
10/10/2002 20:30,oh,us,39.1619444,-84.4569444
10/10/2002 21:00,or,us,45.5236111,-122.675
10/10/2003 12:00,ca,us,34.0952778,-118.1261111
10/10/2003 18:00,in,us,39.7683333,-86.1580556
10/10/2003 19:15,va,us,38.8402778,-77.4291667
10/10/2003 20:05,id,us,42.9897222,-116.0925
10/10/2003 20:25,mi,us,41.7791667,-83.5688889
10/10/2003 21:10,sc,us,33.8075,-78.70111109999999
10/10/2003 22:00,nm,us,35.0844444,-106.65055559999999
10/10/2003 23:25,wi,us,45.3088889,-89.49638890000001
10/10/2004 2:50,nj,us,41.0886111,-74.1441667
10/10/2004 4:18,in,us,39.4666667,-87.4138889
10/10/2004 8:30,in,us,39.7683333,-86.1580556
10/10/2004 14:00,wv,us,39.6294444,-79.95611109999999
10/10/2004 15:00,ca,us,37.8716667,-122.27166670000001
10/10/2004 15:00,il,us,41.5094444,-90.57861109999999
10/10/2004 19:00,ny,us,42.2669444,-79.7108333
10/10/2004 21:00,mn,us,44.295,-93.26861109999999
10/10/2004 21:00,oh,us,40.7583333,-82.5155556
10/10/2004 22:00,mo,us,38.9516667,-92.3338889
10/10/2004 23:30,wi,us,45.3088889,-89.49638890000001
10/10/2005 7:40,wa,us,47.6063889,-122.33083329999998
10/10/2005 9:00,az,us,33.415,-111.5488889
10/10/2005 9:30,fl,us,25.9327778,-80.16277779999999
10/10/2005 11:30,fl,us,28.9886111,-80.9025
10/10/2005 14:45,ca,us,34.0522222,-118.2427778
10/10/2005 20:00,pa,us,40.5030556,-78.6305556
10/10/2005 21:00,tn,us,35.4491667,-86.7888889
10/10/2005 21:30,fl,us,25.9327778,-80.16277779999999
10/10/2005 22:08,wa,us,47.4158333,-120.29194440000002
10/10/2005 23:00,nc,us,35.3186111,-82.4611111
10/10/2005 23:07,mn,us,46.3580556,-94.2005556
10/11/2005 927264:00:00,in,us,39.4805556,-86.055
10/10/2006 1:00,tx,us,31.1911111,-95.23527779999999
10/10/2006 5:00,ca,us,37.775,-122.41833329999999
10/10/2006 12:37,ga,us,34.8761111,-83.95833329999999
10/10/2006 16:00,tn,us,35.2247222,-88.2491667
10/10/2006 16:00,va,us,38.0683333,-78.88972220000001
10/10/2006 20:00,ok,us,34.6377778,-97.8172222
10/10/2006 22:40,ga,us,31.2133333,-82.35416670000001
10/10/2006 22:50,tx,us,33.5058333,-102.0086111
10/10/2006 23:00,oh,us,41.52,-81.4888889
10/10/2006 23:55,ak,us,61.4577778,-149.7288889
10/10/2007 1:00,or,us,44.5366667,-122.90583329999998
10/10/2007 1:00,ga,us,33.5441667,-84.23388890000001
10/10/2007 4:00,co,us,39.7391667,-104.98416670000002
10/10/2007 4:30,fl,us,30.3319444,-81.6558333
10/10/2007 5:00,ca,us,35.3733333,-119.01777779999999
10/10/2007 6:00,ca,us,33.7205556,-116.21472220000001
10/10/2007 13:00,ny,us,42.1033333,-76.2625
10/10/2007 18:33,pa,us,40.0063889,-75.70361109999999
10/10/2007 19:00,tx,us,30.2669444,-97.7427778
10/10/2007 20:10,ga,us,33.5394444,-83.8194444
10/10/2007 20:30,ga,us,33.6675,-84.01777779999999
10/10/2007 20:55,fl,us,27.6383333,-80.3975
10/10/2007 21:00,fl,us,27.2541667,-80.23
10/10/2007 21:43,tx,us,29.7630556,-95.3630556
10/10/2007 22:00,mn,us,46.7833333,-92.10638890000001
10/10/2007 22:00,co,us,40.68,-102.83888890000001
10/10/2007 22:00,pa,us,41.1577778,-80.08888890000001
10/10/2007 22:00,tx,us,33.4213889,-96.5769444
10/10/2007 23:05,co,us,39.8855556,-104.98666670000001
10/10/2008 2:00,mn,us,45.5113889,-92.98
10/10/2008 2:00,ny,us,42.6291667,-73.865
10/10/2008 4:00,nv,us,40.7138889,-116.10305559999999
10/10/2008 4:50,in,us,37.9747222,-87.5558333
10/10/2008 6:00,ny,us,42.6525,-73.7566667
10/10/2008 9:30,tx,us,35.2219444,-101.8308333
10/10/2008 10:22,ca,us,37.5483333,-121.9875
10/10/2008 18:00,az,us,32.7252778,-114.6236111
10/10/2008 19:00,in,us,41.6833333,-86.25
10/10/2008 20:00,mn,us,43.8280556,-91.3038889
10/10/2008 20:00,pa,us,39.9522222,-75.1641667
10/10/2008 20:00,wa,us,47.6063889,-122.33083329999998
10/10/2008 20:40,co,us,38.2544444,-104.60861109999999
10/10/2008 21:30,oh,us,39.1619444,-84.4569444
10/10/2008 22:00,ca,us,32.7152778,-117.1563889
10/10/2008 22:30,wi,us,43.0730556,-89.4011111
10/10/2008 23:15,oh,us,40.4797222,-84.6283333
10/10/2009 12:00,co,us,38.8697222,-106.9872222
10/10/2009 12:42,ok,us,36.1538889,-95.9925
10/10/2009 16:24,az,us,34.1111111,-109.29083329999999
10/10/2009 19:30,va,us,36.7280556,-76.5838889
10/10/2009 20:30,ca,us,33.8352778,-117.9136111
10/10/2009 20:45,nc,us,34.2255556,-77.945
10/10/2009 21:00,va,us,39.1155556,-77.56388890000001
10/10/2009 22:30,mn,us,48.1191667,-96.1808333
10/10/2009 23:00,in,us,41.7075,-86.895
10/10/2009 23:23,ca,us,37.3230556,-122.0311111
10/10/2010 1:00,ny,us,42.7675,-78.74416670000001
10/10/2010 2:30,pa,us,40.2736111,-76.88472220000001
10/10/2010 3:00,oh,us,41.5930556,-81.5269444
10/10/2010 8:30,sc,us,34.3769444,-82.6958333
10/10/2010 10:45,ma,us,42.525,-71.7602778
10/10/2010 12:00,ct,us,41.0263889,-73.6288889
10/10/2010 13:00,sc,us,32.8544444,-79.975
10/10/2010 16:30,va,us,38.7891667,-77.1875
10/10/2010 17:10,ct,us,41.1669444,-73.20527779999999
10/10/2010 18:30,or,us,45.4077778,-122.56916670000001
10/10/2010 20:00,tx,us,31.4636111,-100.4366667
10/10/2010 20:20,ct,us,41.8525,-72.6441667
10/10/2010 20:45,il,us,41.7886111,-89.6961111
10/10/2010 21:00,wa,us,47.9791667,-122.20083329999999
10/10/2010 21:00,az,us,35.8752778,-110.61972220000001
10/10/2010 21:30,ny,us,42.6525,-73.7566667
10/10/2010 22:30,ca,us,33.7738889,-117.94055559999998
10/10/2010 23:00,fl,us,25.7738889,-80.1938889
10/10/2010 23:30,ca,us,33.8352778,-117.9136111
10/10/2011 0:00,ny,us,42.7283333,-73.6922222
10/10/2011 1:00,nm,us,36.7280556,-108.21805559999999
10/10/2011 2:00,az,us,34.61,-112.315
10/10/2011 10:30,ny,us,42.0963889,-79.3758333
10/10/2011 14:30,ri,us,41.55,-71.4666667
10/10/2011 15:00,ct,us,41.35,-72.07888890000001
10/10/2011 19:00,va,us,37.6086111,-77.37361109999999
